N°,Día,Mes,Año,Parque Eólico,llegada subestación,Inicio de actividades,Tras. WTG 1,Ingreso WTG 1,Salida WTG  1,Tras. WTG 2,Ingreso WTG 2,Salida  WTG  2,Tras. WTG 3,Ingreso WTG 3,Salida WTG  3,Colación,Hora de termino,Nombre WTG,WTG 1,WTG 2,WTG 3,Palas insp,Observaciones
1,16,6,2026,Olavarría,08:00,09:00,,,,,,,,,,,17:00, WTG 22,1,,,3,
2,17,6,2026,Olavarría,08:00,09:00,,,,,,,,,,,17:00,WTG 21,1,,,3,
3,18,6,2026,Olavarría,08:00,09:00,,,,,,,,,,,17:00,WTG 01,1,,,3,09:00HS A 11:30HS STANBY POR VIENTO-TORMENTA ELECTRICA
4,19,6,2026,Olavarría,08:00,09:00,,,,,,,,,,,17:00,WTG 02,1,,,3,
5,22,6,2026,Olavarría,08:00,09:00,,,,,,,,,,,17:00,WTG 03,1,,,3,
6,23,6,2026,Olavarría,08:00,09:00,,,,,,,,,,,17:00,WTG 09,1,,,3,
7,24,6,2026,Olavarría,,,,,,,,,,,,,,,,,,,STANDBY POR RENOVACION GWO
8,25,6,2026,Olavarría,,,,,,,,,,,,,,,,,,,STANDBY POR RENOVACION GWO
9,26,6,2026,Olavarría,,,,,,,,,,,,,,,,,,,STANDBY POR RENOVACION GWO
10,29,6,2026,Olavarría,08:00,09:00,,,,,,,,,,,17:00,WTG 04,1,,,3,
11,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,